epoch,train_loss,test_loss,behavioral_rsa_rho,behavioral_rsa_p_value,used_random_targets,used_shuffled_targets,used_uniform_images,used_image_noise
98,101.64499869306992,40.03900812475721,0.7377393656850242,2.3224218246963044e-194,False,False,False,True
99,21.10921527936518,30.247386890221694,0.7492548104268454,9.894328949862435e-204,False,False,False,False
100,18.102282130487076,29.443242194244217,0.7542136595678545,6.320321557646762e-208,False,False,False,False
101,17.519067912220624,29.26911993711693,0.753232755646313,4.349129271876845e-207,False,False,False,False
102,17.275568737547815,29.204064722219226,0.7513630521643951,1.6756729956188919e-205,False,False,False,False
103,17.103153696350773,29.157127232841365,0.7536689595931649,1.8466524283982752e-207,False,False,False,False
104,16.959000302153612,29.14184846403849,0.7540723676652286,8.349151165649822e-208,False,False,False,False
105,16.86246674873162,29.13837072467277,0.752124292702793,3.8041510553794904e-206,False,False,False,False
106,16.741384817952923,29.117127413249147,0.7530187317322696,6.61679794242869e-207,False,False,False,False
107,16.631500318109826,29.14054794733037,0.7535441764106844,2.3598607738167095e-207,False,False,False,False
108,16.53737356656146,29.120662984268442,0.751375986573139,1.6340586807743884e-205,False,False,False,False
109,16.438796764595686,29.14354644691088,0.7546423386485982,2.712782836134706e-208,False,False,False,False
110,16.361477896777547,29.16373624854325,0.7526116030319636,1.4682817589015474e-206,False,False,False,False
111,16.272357702915688,29.167559839743937,0.7522443979268432,3.00916915580986e-206,False,False,False,False
112,16.18435466586718,29.166452165466644,0.7518425073694448,6.590110234318849e-206,False,False,False,False
113,16.103093717897366,29.173613806455833,0.7524558508449664,1.9909444066210547e-206,False,False,False,False
114,16.009380108101546,29.13055531622955,0.7492863646987261,9.311237250078342e-204,False,False,False,False
115,15.928092829738628,29.18255729043023,0.7505946002959766,7.444745278017938e-205,False,False,False,False
116,15.858878909715985,29.144840999202835,0.7500140108904318,2.2887931618688974e-204,False,False,False,False
117,15.76259459815197,29.18569212855555,0.750791559485879,5.082489491659129e-205,False,False,False,False
118,15.684840368762242,29.20353074890474,0.7503078945362897,1.2968258239675654e-204,False,False,False,False
119,15.60551633332905,29.208870186990136,0.750768562658956,5.3142270653507235e-205,False,False,False,False
120,15.527261527951735,29.185730697041716,0.7495780494114878,5.3085463219548544e-204,False,False,False,False
121,15.456359794595565,29.2082255453036,0.7496132197995816,4.960531454864442e-204,False,False,False,False
122,15.380152139637278,29.227288346264245,0.7498714648434545,3.0140773068050412e-204,False,False,False,False
123,15.309014180360409,29.247433678221306,0.7478722500548513,1.4038575992248064e-202,False,False,False,False
124,15.236211224606162,29.253950340313146,0.7464409578138437,2.147624983745113e-201,False,False,False,False
125,15.151544953977632,29.238122845222936,0.7458541520327974,6.536348227913896e-201,False,False,False,False
126,15.077969759785237,29.287995817911558,0.7479926019272904,1.1151834243084138e-202,False,False,False,False
